No,Name,Stat,Value
98,Blissey,Hp,255
97,Chansey,Hp,250
113,Snorlax,Hp,160
66,Drifblim,Hp,150
112,Munchlax,Hp,135
61,Gastrodon,Hp,111
81,Whiscash,Hp,110
111,Garchomp,Hp,108
123,Hippowdon,Hp,108
85,Skuntank,Hp,103
37,Rampardos,Atk,165
42,Machamp,Atk,130
111,Garchomp,Atk,130
36,Cranidos,Atk,125
148,Azelf,Atk,125
62,Heracross,Atk,125
75,Honchkrow,Atk,125
24,Gyarados,Atk,125
12,Staraptor,Atk,120
19,Luxray,Atk,120
35,Steelix,Def,200
39,Bastiodon,Def,168
34,Onix,Def,160
33,Golem,Def,130
146,Uxie,Def,130
149,Dialga,Def,120
38,Shieldon,Def,118
123,Hippowdon,Def,118
89,Bronzong,Def,116
32,Graveler,Def,115
150,Palkia,Sp. Atk,150
149,Dialga,Sp. Atk,150
22,Alakazam,Sp. Atk,135
71,Gengar,Sp. Atk,130
27,Roserade,Sp. Atk,125
148,Azelf,Sp. Atk,125
21,Kadabra,Sp. Atk,120
116,Lucario,Sp. Atk,115
70,Haunter,Sp. Atk,115
9,Empoleon,Sp. Atk,111
141,Mantine,Sp. Def,140
39,Bastiodon,Sp. Def,138
98,Blissey,Sp. Def,135
146,Uxie,Sp. Def,130
139,Milotic,Sp. Def,125
150,Palkia,Sp. Def,120
95,Mr-mime,Sp. Def,120
140,Mantyke,Sp. Def,120
137,Tentacruel,Sp. Def,120
89,Bronzong,Sp. Def,116
30,Crobat,Spd,130
145,Weavile,Spd,125
22,Alakazam,Spd,120
57,Floatzel,Spd,115
64,Ambipom,Spd,115
148,Azelf,Spd,115
144,Sneasel,Spd,115
77,Purugly,Spd,112
71,Gengar,Spd,110
105,Raichu,Spd,110
150,Palkia,Total,680
149,Dialga,Total,680
151,Manaphy,Total,600
111,Garchomp,Total,600
147,Mesprit,Total,580
148,Azelf,Total,580
146,Uxie,Total,580
24,Gyarados,Total,540
139,Milotic,Total,540
113,Snorlax,Total,540
