No,Name,Type 1,Type 2,Hp,Atk,Def,Sp. Atk,Sp. Def,Spd
1,turtwig,grass,,55,68,64,45,55,31
2,grotle,grass,,75,89,85,55,65,36
3,torterra,grass,ground,95,109,105,75,85,56
4,chimchar,fire,,44,58,44,58,44,61
5,monferno,fire,fighting,64,78,52,78,52,81
6,infernape,fire,fighting,76,104,71,104,71,108
7,piplup,water,,53,51,53,61,56,40
8,prinplup,water,,64,66,68,81,76,50
9,empoleon,water,steel,84,86,88,111,101,60
10,starly,normal,flying,40,55,30,30,30,60
11,staravia,normal,flying,55,75,50,40,40,80
12,staraptor,normal,flying,85,120,70,50,60,100
13,bidoof,normal,,59,45,40,35,40,31
14,bibarel,normal,water,79,85,60,55,60,71
15,kricketot,bug,,37,25,41,25,41,25
16,kricketune,bug,,77,85,51,55,51,65
17,shinx,electric,,45,65,34,40,34,45
18,luxio,electric,,60,85,49,60,49,60
19,luxray,electric,,80,120,79,95,79,70
20,abra,psychic,,25,20,15,105,55,90
21,kadabra,psychic,,40,35,30,120,70,105
22,alakazam,psychic,,55,50,45,135,95,120
23,magikarp,water,,20,10,55,15,20,80
24,gyarados,water,flying,95,125,79,60,100,81
25,budew,grass,poison,40,30,35,50,70,55
26,roselia,grass,poison,50,60,45,100,80,65
27,roserade,grass,poison,60,70,65,125,105,90
28,zubat,poison,flying,40,45,35,30,40,55
29,golbat,poison,flying,75,80,70,65,75,90
30,crobat,poison,flying,85,90,80,70,80,130
31,geodude,rock,ground,40,80,100,30,30,20
32,graveler,rock,ground,55,95,115,45,45,35
33,golem,rock,ground,80,120,130,55,65,45
34,onix,rock,ground,35,45,160,30,45,70
35,steelix,steel,ground,75,85,200,55,65,30
36,cranidos,rock,,67,125,40,30,30,58
37,rampardos,rock,,97,165,60,65,50,58
38,shieldon,rock,steel,30,42,118,42,88,30
39,bastiodon,rock,steel,60,52,168,47,138,30
40,machop,fighting,,70,80,50,35,35,35
41,machoke,fighting,,80,100,70,50,60,45
42,machamp,fighting,,90,130,80,65,85,55
43,psyduck,water,,50,52,48,65,50,55
44,golduck,water,,80,82,78,95,80,85
45,burmy,bug,,40,29,45,29,45,36
46,wormadam,bug,,40,29,45,29,45,36
47,mothim,bug,flying,70,94,50,94,50,66
48,wurmple,bug,,45,45,35,20,30,20
49,silcoon,bug,,50,35,55,25,25,15
50,beautifly,bug,flying,60,70,50,100,50,65
51,cascoon,bug,,50,35,55,25,25,15
52,dustox,bug,poison,60,50,70,50,90,65
53,combee,bug,flying,30,30,42,30,42,70
54,vespiquen,bug,flying,70,80,102,80,102,40
55,pachirisu,electric,,60,45,70,45,90,95
56,buizel,water,,55,65,35,60,30,85
57,floatzel,water,,85,105,55,85,50,115
58,cherubi,grass,,45,35,45,62,53,35
59,cherrim,grass,,70,60,70,87,78,85
60,shellos,water,,76,48,48,57,62,34
61,gastrodon,water,ground,111,83,68,92,82,39
62,heracross,bug,fighting,80,125,75,40,95,85
63,aipom,normal,,55,70,55,40,55,85
64,ambipom,normal,,75,100,66,60,66,115
65,drifloon,ghost,flying,90,50,34,60,44,70
66,drifblim,ghost,flying,150,80,44,90,54,80
67,buneary,normal,,55,66,44,44,56,85
68,lopunny,normal,,65,76,84,54,96,105
69,gastly,ghost,poison,30,35,30,100,35,80
70,haunter,ghost,poison,45,50,45,115,55,95
71,gengar,ghost,poison,60,65,60,130,75,110
72,misdreavus,ghost,,60,60,60,85,85,85
73,mismagius,ghost,,60,60,60,105,105,105
74,murkrow,dark,flying,60,85,42,85,42,91
75,honchkrow,dark,flying,100,125,52,105,52,71
76,glameow,normal,,49,55,42,42,37,85
77,purugly,normal,,71,82,64,64,59,112
78,goldeen,water,,45,67,60,35,50,63
79,seaking,water,,80,92,65,65,80,68
80,barboach,water,ground,50,48,43,46,41,60
81,whiscash,water,ground,110,78,73,76,71,60
82,chingling,psychic,,45,30,50,65,50,45
83,chimecho,psychic,,75,50,80,95,90,65
84,stunky,poison,dark,63,63,47,41,41,74
85,skuntank,poison,dark,103,93,67,71,61,84
86,meditite,fighting,psychic,30,40,55,40,55,60
87,medicham,fighting,psychic,60,60,75,60,75,80
88,bronzor,steel,psychic,57,24,86,24,86,23
89,bronzong,steel,psychic,67,89,116,79,116,33
90,ponyta,fire,,50,85,55,65,65,90
91,rapidash,fire,,65,100,70,80,80,105
92,bonsly,rock,,50,80,95,10,45,10
93,sudowoodo,rock,,70,100,115,30,65,30
94,mime-jr,psychic,fairy,20,25,45,70,90,60
95,mr-mime,psychic,fairy,40,45,65,100,120,90
96,happiny,normal,,100,5,5,15,65,30
97,chansey,normal,,250,5,5,35,105,50
98,blissey,normal,,255,10,10,75,135,55
99,cleffa,fairy,,50,25,28,45,55,15
100,clefairy,fairy,,70,45,48,60,65,35
101,clefable,fairy,,95,70,73,95,90,60
102,chatot,normal,flying,76,65,45,92,42,91
103,pichu,electric,,20,40,15,35,35,60
104,pikachu,electric,,35,55,40,50,50,90
105,raichu,electric,,60,90,55,90,80,110
106,hoothoot,normal,flying,60,30,30,36,56,50
107,noctowl,normal,flying,100,50,50,86,96,70
108,spiritomb,ghost,dark,50,92,108,92,108,35
109,gible,dragon,ground,58,70,45,40,45,42
110,gabite,dragon,ground,68,90,65,50,55,82
111,garchomp,dragon,ground,108,130,95,80,85,102
112,munchlax,normal,,135,85,40,40,85,5
113,snorlax,normal,,160,110,65,65,110,30
114,unown,psychic,,48,72,48,72,48,48
115,riolu,fighting,,40,70,40,35,40,60
116,lucario,fighting,steel,70,110,70,115,70,90
117,wooper,water,ground,55,45,45,25,25,15
118,quagsire,water,ground,95,85,85,65,65,35
119,wingull,water,flying,40,30,30,55,30,85
120,pelipper,water,flying,60,50,100,95,70,65
121,girafarig,normal,psychic,70,80,65,90,65,85
122,hippopotas,ground,,68,72,78,38,42,32
123,hippowdon,ground,,108,112,118,68,72,47
124,azurill,normal,fairy,50,20,40,20,40,20
125,marill,water,fairy,70,20,50,20,50,40
126,azumarill,water,fairy,100,50,80,60,80,50
127,skorupi,poison,bug,40,50,90,30,55,65
128,drapion,poison,dark,70,90,110,60,75,95
129,croagunk,poison,fighting,48,61,40,61,40,50
130,toxicroak,poison,fighting,83,106,65,86,65,85
131,carnivine,grass,,74,100,72,90,72,46
132,remoraid,water,,35,65,35,65,35,65
133,octillery,water,,75,105,75,105,75,45
134,finneon,water,,49,49,56,49,61,66
135,lumineon,water,,69,69,76,69,86,91
